baseline,epoch,ddi,jaccard,prauc,precision,recall,f1,avg_med
GAMENet,47,0.08545,0.5009,0.7694,0.5691,0.8179,0.6581,27.92
GAMENet,48,0.08525,0.5011,0.7698,0.5691,0.8178,0.6582,27.92
GAMENet,49,0.08491,0.5025,0.7702,0.5714,0.8164,0.6595,27.74
GAMENet,50,0.08469,0.5021,0.7705,0.5711,0.8162,0.6591,27.74
RETAIN,1,0.1005,0.438,0.7081,0.602,0.6457,0.6015,20.77
RETAIN,2,0.1007,0.4444,0.722,0.6331,0.6226,0.6081,19.09
RETAIN,3,0.0922,0.4488,0.7276,0.6743,0.5938,0.6126,16.93
RETAIN,4,0.08578,0.4532,0.7314,0.6797,0.5973,0.6169,17.16
RETAIN,5,0.08746,0.4535,0.7353,0.6928,0.5883,0.6172,16.41
RETAIN,6,0.09468,0.4541,0.7371,0.689,0.5918,0.618,16.71
RETAIN,7,0.0851,0.468,0.7394,0.688,0.6162,0.6305,17.5
RETAIN,8,0.0929,0.4617,0.74,0.6823,0.6103,0.6249,17.48
RETAIN,9,0.0875,0.464,0.7432,0.6917,0.605,0.6266,17.31
RETAIN,10,0.08891,0.47,0.7455,0.6942,0.6141,0.6324,17.35
RETAIN,11,0.0864,0.4759,0.746,0.6812,0.6354,0.6378,18.41
RETAIN,12,0.08895,0.4667,0.7456,0.6921,0.6098,0.6295,17.38
RETAIN,13,0.08789,0.4685,0.7471,0.6955,0.6103,0.6311,17.11
RETAIN,14,0.09087,0.4784,0.7477,0.6783,0.6409,0.6399,18.62
RETAIN,15,0.08472,0.4768,0.7502,0.681,0.6355,0.6384,18.38
RETAIN,16,0.09379,0.4717,0.7513,0.6975,0.6135,0.634,17.23
RETAIN,17,0.08737,0.4753,0.752,0.7005,0.6174,0.6374,17.31
RETAIN,18,0.09004,0.4801,0.7536,0.6917,0.6328,0.6416,18.02
RETAIN,19,0.08757,0.4763,0.7534,0.7014,0.6181,0.6382,17.28
RETAIN,20,0.08358,0.4803,0.7536,0.6897,0.6337,0.6417,18.21
RETAIN,21,0.09088,0.4791,0.7558,0.6992,0.6248,0.6409,17.58
RETAIN,22,0.08969,0.4826,0.7553,0.6974,0.6316,0.6436,17.79
RETAIN,23,0.08666,0.4842,0.7571,0.6925,0.6377,0.6451,18.18
RETAIN,24,0.08758,0.4805,0.7548,0.6935,0.6308,0.6419,18.06
RETAIN,25,0.08812,0.4798,0.756,0.702,0.6238,0.6416,17.54
RETAIN,26,0.08835,0.4801,0.7576,0.7111,0.6166,0.6419,16.96
RETAIN,27,0.08453,0.4872,0.7573,0.6879,0.6475,0.6476,18.69
RETAIN,28,0.08516,0.4824,0.7585,0.7023,0.6274,0.6438,17.63
RETAIN,29,0.08741,0.4884,0.7602,0.6944,0.6445,0.6491,18.5
RETAIN,30,0.08939,0.4838,0.7591,0.6992,0.6316,0.6448,17.8
RETAIN,31,0.08924,0.4858,0.7598,0.7009,0.6338,0.6467,17.86
RETAIN,32,0.08505,0.4886,0.7597,0.6931,0.6445,0.649,18.45
RETAIN,33,0.08804,0.484,0.7602,0.7032,0.629,0.6451,17.74
RETAIN,34,0.08764,0.4893,0.7613,0.7021,0.6382,0.6498,18.03
RETAIN,35,0.08693,0.4865,0.7606,0.7041,0.6322,0.6472,17.74
RETAIN,36,0.08683,0.4905,0.7613,0.694,0.6485,0.6508,18.56
RETAIN,37,0.08536,0.4868,0.7607,0.7011,0.6363,0.6477,17.97
RETAIN,38,0.08601,0.4859,0.7617,0.7076,0.6294,0.6469,17.47
RETAIN,39,0.08754,0.4868,0.7609,0.6986,0.6383,0.6478,18.14
RETAIN,40,0.0835,0.4905,0.7622,0.6947,0.6482,0.6508,18.7
RETAIN,41,0.08707,0.4869,0.762,0.7078,0.631,0.6479,17.66
RETAIN,42,0.08781,0.4879,0.7633,0.7092,0.6322,0.6487,17.63
RETAIN,43,0.08642,0.4889,0.7617,0.6981,0.6419,0.6494,18.3
RETAIN,44,0.08739,0.4866,0.7623,0.7046,0.6336,0.6475,17.85
RETAIN,45,0.08786,0.49,0.762,0.6976,0.6451,0.6504,18.5
RETAIN,46,0.0851,0.4907,0.7627,0.6957,0.6476,0.6512,18.61
RETAIN,47,0.08615,0.4883,0.7625,0.7005,0.6397,0.6489,18.3
RETAIN,48,0.08727,0.4885,0.7631,0.7056,0.6352,0.6492,17.77
RETAIN,49,0.0872,0.4884,0.7632,0.7051,0.636,0.6492,17.86
RETAIN,50,0.0867,0.4929,0.7632,0.6931,0.6531,0.6528,18.93
SafeDrug,1,0.06074,0.4637,0.7176,0.6184,0.6593,0.6251,20.43
SafeDrug,2,0.05381,0.4692,0.7279,0.645,0.6419,0.6298,19.16
SafeDrug,3,0.05814,0.4781,0.7336,0.64,0.6625,0.6379,20.0
SafeDrug,4,0.06004,0.48,0.7391,0.6589,0.6463,0.6394,18.89
SafeDrug,5,0.06364,0.49,0.7436,0.6548,0.6711,0.6489,19.75
SafeDrug,6,0.06348,0.4949,0.7491,0.6678,0.6676,0.653,19.24
SafeDrug,7,0.06324,0.4963,0.7505,0.6782,0.6609,0.6548,18.9
SafeDrug,8,0.06349,0.5029,0.7539,0.6683,0.6819,0.6606,19.76
SafeDrug,9,0.06325,0.506,0.7564,0.6668,0.6883,0.6631,19.88
SafeDrug,10,0.06296,0.5062,0.7586,0.6725,0.6838,0.6633,19.64
SafeDrug,11,0.06208,0.5036,0.7583,0.6882,0.6647,0.6609,18.68
SafeDrug,12,0.06165,0.5053,0.759,0.6722,0.6825,0.6625,19.68
SafeDrug,13,0.05961,0.5059,0.7595,0.6754,0.6813,0.6632,19.61
SafeDrug,14,0.06123,0.5088,0.7616,0.6765,0.683,0.6658,19.49
SafeDrug,15,0.05879,0.5079,0.7613,0.6766,0.6835,0.665,19.66
SafeDrug,16,0.06145,0.5112,0.7644,0.6765,0.6887,0.668,19.78
SafeDrug,17,0.06129,0.5114,0.7644,0.6744,0.6908,0.6682,19.81
SafeDrug,18,0.05959,0.5108,0.7657,0.6623,0.7026,0.6671,20.67
SafeDrug,19,0.06093,0.5115,0.7648,0.676,0.69,0.6681,19.82
SafeDrug,20,0.06109,0.5123,0.7657,0.6671,0.6997,0.6687,20.38
SafeDrug,21,0.0625,0.5138,0.7663,0.6821,0.6868,0.6702,19.47
SafeDrug,22,0.06101,0.5158,0.7672,0.6842,0.6889,0.6721,19.52
SafeDrug,23,0.06104,0.5149,0.7667,0.6793,0.692,0.6709,19.77
SafeDrug,24,0.06021,0.5164,0.7675,0.6808,0.6921,0.6722,19.7
SafeDrug,25,0.05968,0.5153,0.7677,0.6739,0.6977,0.6714,20.21
SafeDrug,26,0.06016,0.5183,0.7693,0.6864,0.6896,0.6738,19.47
SafeDrug,27,0.06269,0.5183,0.7691,0.6772,0.6999,0.674,20.1
SafeDrug,28,0.06034,0.5169,0.7691,0.6845,0.6893,0.6728,19.49
SafeDrug,29,0.06502,0.5192,0.7695,0.6783,0.6995,0.6747,19.98
SafeDrug,30,0.06109,0.5199,0.7684,0.6776,0.7019,0.6755,20.1
SafeDrug,31,0.06189,0.5187,0.7681,0.6816,0.6959,0.6744,19.79
SafeDrug,32,0.06099,0.5192,0.7693,0.6819,0.6957,0.6748,19.82
SafeDrug,33,0.06206,0.5193,0.7692,0.6833,0.6945,0.675,19.74
SafeDrug,34,0.06053,0.5186,0.7679,0.6839,0.6927,0.6744,19.62
SafeDrug,35,0.0608,0.5176,0.7685,0.685,0.6899,0.6735,19.55
SafeDrug,36,0.0591,0.5175,0.7678,0.6827,0.6924,0.6735,19.67
SafeDrug,37,0.06044,0.5169,0.7691,0.679,0.6952,0.6728,19.85
SafeDrug,38,0.06221,0.5193,0.7704,0.6899,0.6885,0.6748,19.3
SafeDrug,39,0.06076,0.5172,0.7696,0.6796,0.6947,0.6729,19.9
SafeDrug,40,0.05948,0.5168,0.7671,0.68,0.6937,0.6727,19.75
SafeDrug,41,0.05998,0.5192,0.7696,0.6827,0.6952,0.6748,19.71
SafeDrug,42,0.0602,0.5196,0.7688,0.6802,0.6981,0.6753,19.79
SafeDrug,43,0.0577,0.517,0.7683,0.6848,0.6891,0.6728,19.53
SafeDrug,44,0.06117,0.5188,0.7692,0.679,0.6976,0.6745,19.93
SafeDrug,45,0.0618,0.5166,0.7681,0.6876,0.686,0.6726,19.35
SafeDrug,46,0.06187,0.5159,0.7681,0.6859,0.6872,0.6722,19.44
SafeDrug,47,0.05928,0.5163,0.7675,0.6846,0.689,0.6725,19.46
SafeDrug,48,0.05931,0.5172,0.7684,0.6847,0.6897,0.6729,19.52
SafeDrug,49,0.06024,0.5162,0.7684,0.6868,0.686,0.6721,19.36
SafeDrug,50,0.05897,0.5183,0.7678,0.6791,0.6976,0.6742,19.92
